Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
836,http://www.ibiblio.org/openvideo/video/cmu/UGS10_001.mpg,,,,,1994,Documentary,Hurricanes;,00:00:15,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
848,http://www.ibiblio.org/openvideo/video/cmu/UGS12_001.mpg,,,,,1993,Documentary,Ice;Geology;Ocean;,00:00:24,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
857,http://www.ibiblio.org/openvideo/video/cmu/UGS12_010.mpg,,,,,1993,Documentary,Ice;Geology;Ocean;,00:00:46,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
858,http://www.ibiblio.org/openvideo/video/cmu/UGS12_011.mpg,,,,,1993,Documentary,Ice;Geology;Ocean;,00:00:33,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
859,http://www.ibiblio.org/openvideo/video/cmu/UGS13_001.mpg,,,,,1996,Documentary,Hurricanes;Weather;,00:00:09,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
863,http://www.ibiblio.org/openvideo/video/cmu/UGS13_005.mpg,,,,,1996,Documentary,Hurricanes;Weather;,00:00:25,Yes,Yes,Medium,English,United States Geological Survey,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
6164,http://nasa.ibiblio.org/video/NASASciFiles/NASAWF-TheBarkingDogs/mpeg1/NASAWF-HowTheEarWorks.mpg,http://nasa.ibiblio.org/video/NASASciFiles/NASAWF-TheBarkingDogs/mpeg2/NASAWF-HowTheEarWorks.mpg,http://nasa.ibiblio.org/video/NASASciFiles/NASAWF-TheBarkingDogs/mpeg4/NASAWF-HowTheEarWorks.mp4,http://nasa.ibiblio.org/video/NASASciFiles/NASAWF-TheBarkingDogs/quicktime/NASAWF-HowTheEarWorks.mov,http://nasa.ibiblio.org/video/NASASciFiles/NASAWF-TheBarkingDogs/real/NASAWF-HowTheEarWorks.ram,2003,Educational,Hearing; Ear Canal; Ear Drum; Cochlea; Auditory Nerve; Brain; Frequency;,00:00:56,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6249,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg1/NASAKSN-Meter.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg2/NASAKSN-Meter.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg4/NASAKSN-Meter.mp4,http://nasa.ibiblio.org/video/NASAKidsScienceNews/quicktime/NASAKSN-Meter.mov,http://nasa.ibiblio.org/video/NASAKidsScienceNews/real/NASAKSN-Meter.rm,2003,Educational,Jacob Pennington; Metric; Millimeter; Centimeter; Decimeter;,00:00:50,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6245,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg1/NASAKSN-Go.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg2/NASAKSN-Go.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg4/NASAKSN-Go.mp4,http://nasa.ibiblio.org/video/NASAKidsScienceNews/quicktime/NASAKSN-Go.mov,http://nasa.ibiblio.org/video/NASAKidsScienceNews/real/NASAKSN-Go.rm,2003,Educational,Stored Energy; Kintetic Energy; Force; Power Source; Tyrone Green;,00:00:54,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6256,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg1/es/NASAKSN-ElCieloAzul.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg2/es/NASAKSN-ElCieloAzul.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg4/es/NASAKSN-ElCieloAzul.mp4,http://nasa.ibiblio.org/video/NASAKidsScienceNews/quicktime/es/NASAKSN-ElCieloAzul.mov,http://nasa.ibiblio.org/video/NASAKidsScienceNews/real/es/NASAKSN-ElCieloAzul.rm,2003,Educational,Ashley Canciobello; Luz Blanca;,00:00:57,Yes,Yes,Low,Spanish,NASA,NASA,No,2004,Open Video
6252,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg1/NASAKSN-Sound.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg2/NASAKSN-Sound.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg4/NASAKSN-Sound.mp4,http://nasa.ibiblio.org/video/NASAKidsScienceNews/quicktime/NASAKSN-Sound.mov,http://nasa.ibiblio.org/video/NASAKidsScienceNews/real/NASAKSN-Sound.rm,2003,Educational,Tori Glenn; Vibration; Energy; Ear Drum;,00:00:55,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6251,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg1/NASAKSN-Popcorn.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg2/NASAKSN-Popcorn.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg4/NASAKSN-Popcorn.mp4,http://nasa.ibiblio.org/video/NASAKidsScienceNews/quicktime/NASAKSN-Popcorn.mov,http://nasa.ibiblio.org/video/NASAKidsScienceNews/real/NASAKSN-Popcorn.rm,2003,Educational,Bianca Baker; Heat Energy; Expand; Water; Steam;,00:00:55,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6243,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg1/NASAKSN-BlueSky.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg2/NASAKSN-BlueSky.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg4/NASAKSN-BlueSky.mp4,http://nasa.ibiblio.org/video/NASAKidsScienceNews/quicktime/NASAKSN-BlueSky.mov,http://nasa.ibiblio.org/video/NASAKidsScienceNews/real/NASAKSN-BlueSky.rm,2003,Educational,Alexandra Samsell; Rainbow; White Light; Gas; Scatter;,00:00:57,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6432,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg1/NASAKSN-AircraftNoise.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg2/NASAKSN-AircraftNoise.mpg,http://nasa.ibiblio.org/video/NASAKidsScienceNews/mpeg4/NASAKSN-AircraftNoise.mp4,http://nasa.ibiblio.org/video/NASAKidsScienceNews/quicktime/NASAKSN-AircraftNoise.mov,http://nasa.ibiblio.org/video/NASAKidsScienceNews/real/NASAKSN-AircraftNoise.ram,2003,Educational,NASA Kids Science News; Sound; Wave; Amplitude; Airplane Noise; Active Noise Control; Engine; Slats; Flaps; Landing Gear; Technology;,00:00:58,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
