video_id,title,description,genre,keywords,duration,popularity,video_url,image_path
6437,NASAKSN - Computer Mouse,NASAKSN - Computer Mouse  (2003) NASA Kids Science News segment explaining the technology of the computer mouse.,Educational,NASA Kids Science News; Computer Mouse; Opto-Mechanical Device; Light; Motion; Signals; Computer; Cursor;,00:00:58,2065,https://open-video.org/details.php?videoid=6437,./results_files/NASAKSN-ComputerMouse_00741.gif
6438,NASAKSN - Computer Virus,NASAKSN - Computer Virus  (2003) NASA Kids Science News segment exlaining what a computer virus is.,Educational,NASA Kids Science News; Computer Virus; Systems; Sick; Program; Email; Infected Attachment; Anti-virus; Files;,00:00:58,2928,https://open-video.org/details.php?videoid=6438,./results_files/NASAKSN-ComputerVirus_00411.gif
6439,NASAKSN - Coolest Gas,NASAKSN - Coolest Gas  (2003) NASA Kids Science News segment explaining what the coolest gas is.,Educational,NASA Kids Science News; Gases; Cool; Temperature; Laser; Atom; Bose-Einstein; Matter; States; Liquids; Solids; Clocks; Navigate; Distance;,00:00:58,1919,https://open-video.org/details.php?videoid=6439,./results_files/NASAKSN-CoolestGas_00466.gif
6440,NASAKSN - E-Mail,NASAKSN - E-Mail  (2003) NASA Kids Science News segment explaining how email works.,Educational,NASA Kids Science News; Email; Technology; Computer; Message; Server; Send; Receive; Post Office; Electronically;,00:00:58,1481,https://open-video.org/details.php?videoid=6440,./results_files/NASAKSN-E-Mail_00571.gif
6441,NASAKSN - Floating In Space,NASAKSN - Floating In Space  (2003) NASA Kids Science News segment explaining why astronauts float in space.,Educational,NASA Kids Science News; International Space Station; Weightless; Zero-Gravity; Float; Free-Falling; ISS; Orbit;,00:00:58,1761,https://open-video.org/details.php?videoid=6441,./results_files/NASAKSN-FloatingInSpace_01260.gif
6442,NASAKSN - Food In Space,NASAKSN - Food In Space  (2003) NASA Kids Science News segment explaining how astronauts eat in space.,Educational,NASA Kids Science News; Space Food; Astronauts; Diet; Vegetables; Freeze-Dried; Hydroponics; Water; Soil;,00:00:58,1551,https://open-video.org/details.php?videoid=6442,./results_files/NASAKSN-FoodInSpace_01111.gif
6443,NASAKSN - Fractions,NASAKSN - Fractions  (2003) NASA Kids Science News segment explaining why we need fractions.,Educational,NASA Kids Science News; Fractions; Whole; Piece; Pizza; Divide; Numerator; Denominator;,00:00:58,1518,https://open-video.org/details.php?videoid=6443,./results_files/NASAKSN-Fractions_01021.gif
6444,NASAKSN - Glove Boxes,NASAKSN - Glove Boxes  (2003) NASA Kids Science News segment explaining how a glove box is used in space.,Educational,NASA Kids Science News; Glove Box; Astronauts; Space; Experiment; Flames; Protein Crystals; Metals; Fumes;,00:00:58,1330,https://open-video.org/details.php?videoid=6444,./results_files/NASAKSN-GloveBoxes_00383.gif
6445,NASAKSN - Inventors,NASAKSN - Inventors  (2003) NASA Kids Science News segment explaining some past inventions.,Educational,NASA Kids Science News; Inventions; Kevlar; Windshield Wiper; Inventors; Mary Anderson; Non-refelective Glass; Hedy Lamarr; Cell Phones; Radio-controlled Turpedoes;,00:00:58,1745,https://open-video.org/details.php?videoid=6445,./results_files/NASAKSN-Inventors_00736.gif
6446,NASAKSN - Mars Odyssey,NASAKSN - Mars Odyssey  (2003) NASA Kids Science News segment explaining NASA's Mars Odyssey mission.,Educational,NASA Kids Science News; Mars Odyssey; Spacecraft; Water; Oxygen; Fuel; Mars; Hydrogen; Chemistry;,00:00:58,2272,https://open-video.org/details.php?videoid=6446,./results_files/NASAKSN-MarsOdyssey_01171.gif
