Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
458,http://www.ibiblio.org/openvideo/video/umd/apo16014.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:56,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
459,http://www.ibiblio.org/openvideo/video/umd/apo16015.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:25,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
460,http://www.ibiblio.org/openvideo/video/umd/apo16016.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:14,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
461,http://www.ibiblio.org/openvideo/video/umd/moon001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:57,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
462,http://www.ibiblio.org/openvideo/video/umd/moon001-b.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:58,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
463,http://www.ibiblio.org/openvideo/video/umd/moon002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:03:43,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
464,http://www.ibiblio.org/openvideo/video/umd/moon003.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:18,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
465,http://www.ibiblio.org/openvideo/video/umd/moon004.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:37,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
466,http://www.ibiblio.org/openvideo/video/umd/moon005.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:04,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
467,http://www.ibiblio.org/openvideo/video/umd/moon006.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:02:31,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
468,http://www.ibiblio.org/openvideo/video/umd/moon007.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:01:24,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
469,http://www.ibiblio.org/openvideo/video/umd/moon008.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:34,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
470,http://www.ibiblio.org/openvideo/video/umd/storms1.mpg,,,,,0,Documentary,Hurricanes;,00:01:55,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
471,http://www.ibiblio.org/openvideo/video/umd/storms2.mpg,,,,,0,Documentary,Hurricanes;,00:01:56,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
472,http://www.ibiblio.org/openvideo/video/umd/weather.mpg,,,,,0,Documentary,Hurricanes;,00:03:43,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
473,http://www.ibiblio.org/openvideo/video/umd/wth-01.mpg,,,,,0,Documentary,Hurricanes;,00:02:40,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
474,http://www.ibiblio.org/openvideo/video/umd/wth-02.mpg,,,,,0,Documentary,Hurricanes;,00:00:12,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
