Id,MPEG-4
8200,http://www.ibiblio.org/openvideo/video/chi/cscw00_03_m4.mp4
8201,http://www.ibiblio.org/openvideo/video/chi/cscw00_04_m4.mp4
8202,http://www.ibiblio.org/openvideo/video/chi/cscw00_05_m4.mp4
8203,http://www.ibiblio.org/openvideo/video/chi/cscw00_06_m4.mp4
8204,http://www.ibiblio.org/openvideo/video/chi/cscw00_07_m4.mp4
8205,http://www.ibiblio.org/openvideo/video/chi/cscw00_08_m4.mp4
8206,http://www.ibiblio.org/openvideo/video/chi/siggraph_01_m4.mp4
8207,http://www.ibiblio.org/openvideo/video/chi/siggraph_02_m4.mp4
8208,http://www.ibiblio.org/openvideo/video/chi/siggraph_03_m4.mp4
8209,http://www.ibiblio.org/openvideo/video/chi/siggraph_04_m4.mp4
8210,http://www.ibiblio.org/openvideo/video/chi/siggraph_05_m4.mp4
8211,http://www.ibiblio.org/openvideo/video/chi/siggraph_06_m4.mp4
8212,http://www.ibiblio.org/openvideo/video/chi/siggraph_07_m4.mp4
8213,http://www.ibiblio.org/openvideo/video/chi/siggraph_08_m4.mp4
8214,http://www.ibiblio.org/openvideo/video/chi/siggraph_09_m4.mp4
8215,http://www.ibiblio.org/openvideo/video/chi/siggraph_10_m4.mp4
8216,http://www.ibiblio.org/openvideo/video/chi/uist97_01_m4.mp4
8217,http://www.ibiblio.org/openvideo/video/chi/uist97_02_m4.mp4
8218,http://www.ibiblio.org/openvideo/video/chi/uist97_03_m4.mp4
8219,http://www.ibiblio.org/openvideo/video/chi/uist97_04_m4.mp4
8220,http://www.ibiblio.org/openvideo/video/chi/uist97_05_m4.mp4
8221,http://www.ibiblio.org/openvideo/video/chi/uist97_06_m4.mp4
8228,http://www.ibiblio.org/openvideo/video/chi/uist00_01_m4.mp4
8229,http://www.ibiblio.org/openvideo/video/chi/uist00_02_m4.mp4
8230,http://www.ibiblio.org/openvideo/video/chi/uist00_03_m4.mp4
8231,http://www.ibiblio.org/openvideo/video/chi/uist00_04_m4.mp4
8232,http://www.ibiblio.org/openvideo/video/chi/uist00_05_m4.mp4
8233,http://www.ibiblio.org/openvideo/video/chi/uist00_06_m4.mp4
8234,http://www.ibiblio.org/openvideo/video/chi/uist00_07_m4.mp4
8235,http://www.ibiblio.org/openvideo/video/chi/uist00_08_m4.mp4
8236,http://www.ibiblio.org/openvideo/video/chi/uist00_09_m4.mp4
8428,http://www.ibiblio.org/openvideo/video/chi/chi94_14_m4.mp4
8237,http://www.ibiblio.org/openvideo/video/chi/cscw94_01_m4.mp4
8238,http://www.ibiblio.org/openvideo/video/chi/cscw94_02_m4.mp4
8239,http://www.ibiblio.org/openvideo/video/chi/cscw94_03_m4.mp4
8240,http://www.ibiblio.org/openvideo/video/chi/cscw94_04_m4.mp4
8241,http://www.ibiblio.org/openvideo/video/chi/cscw94_05_m4.mp4
8242,http://www.ibiblio.org/openvideo/video/chi/cscw94_06_m4.mp4
8243,http://www.ibiblio.org/openvideo/video/chi/cscw94_07_m4.mp4
8244,http://www.ibiblio.org/openvideo/video/chi/cscw94_08_m4.mp4
8245,http://www.ibiblio.org/openvideo/video/chi/cscw94_09_m4.mp4
8246,http://www.ibiblio.org/openvideo/video/chi/cscw94_10_m4.mp4
8260,http://www.ibiblio.org/openvideo/video/chi/ucomp03_02_m4.mp4
8261,http://www.ibiblio.org/openvideo/video/chi/ucomp03_03_m4.mp4
8262,http://www.ibiblio.org/openvideo/video/chi/ucomp03_04_m4.mp4
8263,http://www.ibiblio.org/openvideo/video/chi/ucomp03_05_m4.mp4
8264,http://www.ibiblio.org/openvideo/video/chi/ucomp03_06_m4.mp4
8265,http://www.ibiblio.org/openvideo/video/chi/ucomp03_07_m4.mp4
8266,http://www.ibiblio.org/openvideo/video/chi/ucomp03_08_m4.mp4
8267,http://www.ibiblio.org/openvideo/video/chi/ucomp03_09_m4.mp4
8269,http://www.ibiblio.org/openvideo/video/chi/ucomp03_11_m4.mp4
8270,http://www.ibiblio.org/openvideo/video/chi/ucomp03_12_m4.mp4
8271,http://www.ibiblio.org/openvideo/video/chi/ucomp03_13_m4.mp4
8272,http://www.ibiblio.org/openvideo/video/chi/uist01_01_m4.mp4
8273,http://www.ibiblio.org/openvideo/video/chi/uist01_02_m4.mp4
8274,http://www.ibiblio.org/openvideo/video/chi/uist01_03_m4.mp4
8275,http://www.ibiblio.org/openvideo/video/chi/uist01_04_m4.mp4
8276,http://www.ibiblio.org/openvideo/video/chi/uist01_05_m4.mp4
8277,http://www.ibiblio.org/openvideo/video/chi/uist01_06_m4.mp4
8278,http://www.ibiblio.org/openvideo/video/chi/uist01_07_m4.mp4
8279,http://www.ibiblio.org/openvideo/video/chi/uist01_08_m4.mp4
8280,http://www.ibiblio.org/openvideo/video/chi/uist01_09_m4.mp4
8281,http://www.ibiblio.org/openvideo/video/chi/uist01_10_m4.mp4
8282,http://www.ibiblio.org/openvideo/video/chi/uist01_11_m4.mp4
8283,http://www.ibiblio.org/openvideo/video/chi/uist01_12_m4.mp4
8284,http://www.ibiblio.org/openvideo/video/chi/uist01_13_m4.mp4
8285,http://www.ibiblio.org/openvideo/video/chi/uist01_14_m4.mp4
8286,http://www.ibiblio.org/openvideo/video/chi/uist01_15_m4.mp4
8287,http://www.ibiblio.org/openvideo/video/chi/uist01_16_m4.mp4
8288,http://www.ibiblio.org/openvideo/video/chi/uist01_17_m4.mp4
8289,http://www.ibiblio.org/openvideo/video/chi/uist01_18_m4.mp4
8290,http://www.ibiblio.org/openvideo/video/chi/uist01_19_m4.mp4
8291,http://www.ibiblio.org/openvideo/video/chi/uist01_20_m4.mp4
8292,http://www.ibiblio.org/openvideo/video/chi/uist02_01_m4.mp4
8293,http://www.ibiblio.org/openvideo/video/chi/uist02_02_m4.mp4
8294,http://www.ibiblio.org/openvideo/video/chi/uist02_03_m4.mp4
8295,http://www.ibiblio.org/openvideo/video/chi/uist02_04_m4.mp4
8296,http://www.ibiblio.org/openvideo/video/chi/uist02_05_m4.mp4
8297,http://www.ibiblio.org/openvideo/video/chi/uist02_06_m4.mp4
8298,http://www.ibiblio.org/openvideo/video/chi/uist02_07_m4.mp4
8299,http://www.ibiblio.org/openvideo/video/chi/uist02_08_m4.mp4
8300,http://www.ibiblio.org/openvideo/video/chi/uist02_09_m4.mp4
8304,http://www.ibiblio.org/openvideo/video/chi/chi95_01_m4.mp4
8305,http://www.ibiblio.org/openvideo/video/chi/chi95_02_m4.mp4
8306,http://www.ibiblio.org/openvideo/video/chi/chi95_03_m4.mp4
8307,http://www.ibiblio.org/openvideo/video/chi/chi95_04_m4.mp4
8309,http://www.ibiblio.org/openvideo/video/chi/chi95_06_m4.mp4
8310,http://www.ibiblio.org/openvideo/video/chi/chi95_07_m4.mp4
8314,http://www.ibiblio.org/openvideo/video/chi/chi95_11_m4.mp4
8315,http://www.ibiblio.org/openvideo/video/chi/chi95_12_m4.mp4
8316,http://www.ibiblio.org/openvideo/video/chi/chi95_13_m4.mp4
8317,http://www.ibiblio.org/openvideo/video/chi/chi95_14_m4.mp4
8318,http://www.ibiblio.org/openvideo/video/chi/chi95_15_m4.mp4
8015,http://www.ibiblio.org/openvideo/video/chi/chi85_01_m4.mp4
8078,http://www.ibiblio.org/openvideo/video/chi/chi89two_04_m4.mp4
8115,http://www.ibiblio.org/openvideo/video/chi/chi92one_07_m4.mp4
8181,http://www.ibiblio.org/openvideo/video/chi/chi00_08_m4.mp4
8222,http://www.ibiblio.org/openvideo/video/chi/uist97_07_m4.mp4
8223,http://www.ibiblio.org/openvideo/video/chi/uist97_08_m4.mp4
8224,http://www.ibiblio.org/openvideo/video/chi/uist97_09_m4.mp4
8225,http://www.ibiblio.org/openvideo/video/chi/uist97_10_m4.mp4
8226,http://www.ibiblio.org/openvideo/video/chi/uist97_11_m4.mp4
8227,http://www.ibiblio.org/openvideo/video/chi/uist97_12_m4.mp4
9000,http://www.ibiblio.org/openvideo/video/Densho/Veterans_Day2005/MPEG4/vetsday_m4.mp4
9001,http://www.ibiblio.org/openvideo/video/Densho/Veterans_Day2005/MPEG4/vetsday01-ikeda_m4.mp4
9002,http://www.ibiblio.org/openvideo/video/Densho/Veterans_Day2005/MPEG4/vetsday02-myers_m4.mp4
9003,http://www.ibiblio.org/openvideo/video/Densho/Veterans_Day2005/MPEG4/vetsday03-inouye_m4.mp4
10100,http://www.ibiblio.org/openvideo/video/overlay_journal/Overlay_prototype_demonstration.mp4
10201,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-5-7-07-Margaret_Haines.mp4
10202,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4_video-Choices-in-Chaos.mp4
10203,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-JosieMarieGriffiths-5-7-07.mp4
10204,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP45-8-07pm.mp4
10205,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-Booth-Plutchak.mp4
10206,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-5-7-07-Joanne_Marshall.mp4
10207,http://www.ibiblio.org/openvideo/video/infoinlife/TobyConsidine.mp4
10208,http://www.ibiblio.org/openvideo/video/infoinlife/KilgourSharingKnowledge-panel1.mp4
10209,http://www.ibiblio.org/openvideo/video/infoinlife/Jay_Jordan-SharingKnowledge.mp4
10210,http://www.ibiblio.org/openvideo/video/infoinlife/KilgourSharingKnowledge-panel2.mp4
10211,http://www.ibiblio.org/openvideo/video/infoinlife/DJ-Spooky.mp4
10212,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Jed-Dube.mp4
10213,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Alice-Etim.mp4
10214,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Weimao-Ke.mp4
10215,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-CassidySugimoto.mp4
10216,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Elizabeth-L-Innovation.mp4
10217,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Rachael-Clemens.mp4
10218,http://www.ibiblio.org/openvideo/video/infoinlife/FutureOfLibrarianship.mp4
10219,http://www.ibiblio.org/openvideo/video/infoinlife/MarchioniniHCIR.mp4
10220,http://www.ibiblio.org/openvideo/video/infoinlife/MarchioniniSurrogates.mp4
10221,http://www.ibiblio.org/openvideo/video/infoinlife/Cathy_Blake-Info-SynthesisPart1.mp4
10222,http://www.ibiblio.org/openvideo/video/infoinlife/Cathy_Blake-Info-SynthesisPart2.mp4
10223,http://www.ibiblio.org/openvideo/video/infoinlife/YaxiaoSongMultimediaSurrogates.mp4
10224,http://www.ibiblio.org/openvideo/video/infoinlife/Paul_JonesContributorRun.mp4
10225,http://www.ibiblio.org/openvideo/video/infoinlife/Cal_Lee-DigitalPreservation-31.mp4
10226,http://www.ibiblio.org/openvideo/video/infoinlife/Brian_Sturm_Storytelling.mp4
10227,http://www.ibiblio.org/openvideo/video/infoinlife/Sanghee_Oh-talk.mp4
10228,http://www.ibiblio.org/openvideo/video/infoinlife/ask_a_second_year.mp4
10229,http://www.ibiblio.org/openvideo/video/infoinlife/blogger_conference_1.mp4
10230,http://www.ibiblio.org/openvideo/video/infoinlife/blogger2.mp4
10231,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference3.mp4
10232,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference4.mp4
10233,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference5.mp4
10234,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference6.mp4
10235,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference_7.mp4
10236,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference_8.mp4
10237,http://www.ibiblio.org/openvideo/video/infoinlife/how-I-got-my-first-job.mp4
10238,http://www.ibiblio.org/openvideo/video/infoinlife/21stCenturyStudent.mp4
10239,http://www.ibiblio.org/openvideo/video/infoinlife/Informatics-in-Action.mp4
10240,http://www.ibiblio.org/openvideo/video/infoinlife/ASIST_PANEL.mp4
10241,http://www.ibiblio.org/openvideo/video/infoinlife/brad_hemminger-Cradle.mp4
10242,http://www.ibiblio.org/openvideo/video/infoinlife/Fred_Stutzman.mp4
10243,http://www.ibiblio.org/openvideo/video/infoinlife/AndrewPace-ENDECA.mp4
10244,http://www.ibiblio.org/openvideo/video/infoinlife/SarahRobins.mp4
10245,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-Rowenna_Cullen.mp4
